2025-05-27 18:38:10,129 - INFO - experiments.py:190 - run_sbm_experiment() - Running experiment with SBM data.
2025-05-27 18:38:10,201 - INFO - experiments.py:226 - run_sbm_experiment() - All sub-processes started for sbm experiments.
2025-05-27 18:38:15,848 - INFO - datasets.py:315 - load_gt_clusters() - Loading GT clusters for sbmCycle(10, 1000, 0.01, 0.003)...
2025-05-27 18:38:15,850 - INFO - datasets.py:310 - load_graph() - Generating sbmCycle(10, 1000, 0.01, 0.003) graph from sbm...
2025-05-27 18:38:15,864 - INFO - datasets.py:315 - load_gt_clusters() - Loading GT clusters for sbmCycle(10, 1000, 0.01, 0.009000000000000001)...
2025-05-27 18:38:15,865 - INFO - datasets.py:310 - load_graph() - Generating sbmCycle(10, 1000, 0.01, 0.009000000000000001) graph from sbm...
2025-05-27 18:38:15,981 - INFO - datasets.py:315 - load_gt_clusters() - Loading GT clusters for sbmCycle(10, 1000, 0.01, 0.006)...
2025-05-27 18:38:15,982 - INFO - datasets.py:310 - load_graph() - Generating sbmCycle(10, 1000, 0.01, 0.006) graph from sbm...
2025-05-27 18:38:16,002 - INFO - datasets.py:315 - load_gt_clusters() - Loading GT clusters for sbmCycle(10, 1000, 0.01, 0.005)...
2025-05-27 18:38:16,002 - INFO - datasets.py:310 - load_graph() - Generating sbmCycle(10, 1000, 0.01, 0.005) graph from sbm...
2025-05-27 18:38:16,006 - INFO - datasets.py:315 - load_gt_clusters() - Loading GT clusters for sbmCycle(10, 1000, 0.01, 0.01)...
2025-05-27 18:38:16,006 - INFO - datasets.py:310 - load_graph() - Generating sbmCycle(10, 1000, 0.01, 0.01) graph from sbm...
2025-05-27 18:38:16,061 - INFO - datasets.py:315 - load_gt_clusters() - Loading GT clusters for sbmCycle(10, 1000, 0.01, 0.007)...
2025-05-27 18:38:16,062 - INFO - datasets.py:310 - load_graph() - Generating sbmCycle(10, 1000, 0.01, 0.007) graph from sbm...
2025-05-27 18:38:16,064 - INFO - datasets.py:315 - load_gt_clusters() - Loading GT clusters for sbmCycle(10, 1000, 0.01, 0.008)...
2025-05-27 18:38:16,065 - INFO - datasets.py:310 - load_graph() - Generating sbmCycle(10, 1000, 0.01, 0.008) graph from sbm...
2025-05-27 18:38:16,073 - INFO - datasets.py:315 - load_gt_clusters() - Loading GT clusters for sbmCycle(10, 1000, 0.01, 0.004)...
2025-05-27 18:38:16,074 - INFO - datasets.py:310 - load_graph() - Generating sbmCycle(10, 1000, 0.01, 0.004) graph from sbm...
2025-05-27 18:38:16,093 - INFO - datasets.py:315 - load_gt_clusters() - Loading GT clusters for sbmCycle(10, 1000, 0.01, 0.001)...
2025-05-27 18:38:16,095 - INFO - datasets.py:310 - load_graph() - Generating sbmCycle(10, 1000, 0.01, 0.001) graph from sbm...
2025-05-27 18:38:16,099 - INFO - datasets.py:315 - load_gt_clusters() - Loading GT clusters for sbmCycle(10, 1000, 0.01, 0.002)...
2025-05-27 18:38:16,099 - INFO - datasets.py:310 - load_graph() - Generating sbmCycle(10, 1000, 0.01, 0.002) graph from sbm...
2025-05-27 18:38:19,201 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.009000000000000001), run number 0 with 2 eigenvectors.
2025-05-27 18:38:19,201 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.002), run number 0 with 2 eigenvectors.
2025-05-27 18:38:19,346 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.001), run number 0 with 2 eigenvectors.
2025-05-27 18:38:19,354 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.003), run number 0 with 2 eigenvectors.
2025-05-27 18:38:19,417 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.005), run number 0 with 2 eigenvectors.
2025-05-27 18:38:19,461 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.007), run number 0 with 2 eigenvectors.
2025-05-27 18:38:19,483 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.004), run number 0 with 2 eigenvectors.
2025-05-27 18:38:19,525 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.006), run number 0 with 2 eigenvectors.
2025-05-27 18:38:19,612 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.01), run number 0 with 2 eigenvectors.
2025-05-27 18:38:20,090 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.009000000000000001), run number 0 with 3 eigenvectors.
2025-05-27 18:38:20,092 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.005), run number 0 with 3 eigenvectors.
2025-05-27 18:38:20,101 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.008), run number 0 with 2 eigenvectors.
2025-05-27 18:38:20,164 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.002), run number 0 with 3 eigenvectors.
2025-05-27 18:38:20,166 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.007), run number 0 with 3 eigenvectors.
2025-05-27 18:38:20,169 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.001), run number 0 with 3 eigenvectors.
2025-05-27 18:38:20,176 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.006), run number 0 with 3 eigenvectors.
2025-05-27 18:38:20,197 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.003), run number 0 with 3 eigenvectors.
2025-05-27 18:38:20,235 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.004), run number 0 with 3 eigenvectors.
2025-05-27 18:38:20,486 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.01), run number 0 with 3 eigenvectors.
2025-05-27 18:38:20,651 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.002), run number 0 with 4 eigenvectors.
2025-05-27 18:38:20,655 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.001), run number 0 with 4 eigenvectors.
2025-05-27 18:38:20,655 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.004), run number 0 with 4 eigenvectors.
2025-05-27 18:38:20,656 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.007), run number 0 with 4 eigenvectors.
2025-05-27 18:38:20,661 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.006), run number 0 with 4 eigenvectors.
2025-05-27 18:38:20,677 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.003), run number 0 with 4 eigenvectors.
2025-05-27 18:38:20,777 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.005), run number 0 with 4 eigenvectors.
2025-05-27 18:38:20,786 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.008), run number 0 with 3 eigenvectors.
2025-05-27 18:38:20,808 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.009000000000000001), run number 0 with 4 eigenvectors.
2025-05-27 18:38:21,199 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.01), run number 0 with 4 eigenvectors.
2025-05-27 18:38:21,205 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.005), run number 0 with 5 eigenvectors.
2025-05-27 18:38:21,210 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.006), run number 0 with 5 eigenvectors.
2025-05-27 18:38:21,263 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.002), run number 0 with 5 eigenvectors.
2025-05-27 18:38:21,264 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.001), run number 0 with 5 eigenvectors.
2025-05-27 18:38:21,264 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.003), run number 0 with 5 eigenvectors.
2025-05-27 18:38:21,274 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.008), run number 0 with 4 eigenvectors.
2025-05-27 18:38:21,279 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.009000000000000001), run number 0 with 5 eigenvectors.
2025-05-27 18:38:21,280 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.004), run number 0 with 5 eigenvectors.
2025-05-27 18:38:21,559 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.007), run number 0 with 5 eigenvectors.
2025-05-27 18:38:21,677 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.006), run number 0 with 6 eigenvectors.
2025-05-27 18:38:21,814 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.001), run number 0 with 6 eigenvectors.
2025-05-27 18:38:21,814 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.002), run number 0 with 6 eigenvectors.
2025-05-27 18:38:21,818 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.003), run number 0 with 6 eigenvectors.
2025-05-27 18:38:21,825 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.004), run number 0 with 6 eigenvectors.
2025-05-27 18:38:21,825 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.005), run number 0 with 6 eigenvectors.
2025-05-27 18:38:21,835 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.01), run number 0 with 5 eigenvectors.
2025-05-27 18:38:21,835 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.008), run number 0 with 5 eigenvectors.
2025-05-27 18:38:22,147 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.001), run number 0 with 7 eigenvectors.
2025-05-27 18:38:22,153 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.003), run number 0 with 7 eigenvectors.
2025-05-27 18:38:22,162 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.004), run number 0 with 7 eigenvectors.
2025-05-27 18:38:22,162 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.006), run number 0 with 7 eigenvectors.
2025-05-27 18:38:22,263 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.009000000000000001), run number 0 with 6 eigenvectors.
2025-05-27 18:38:22,332 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.002), run number 0 with 7 eigenvectors.
2025-05-27 18:38:22,363 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.005), run number 0 with 7 eigenvectors.
2025-05-27 18:38:22,384 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.008), run number 0 with 6 eigenvectors.
2025-05-27 18:38:22,581 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.007), run number 0 with 6 eigenvectors.
2025-05-27 18:38:22,597 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.01), run number 0 with 6 eigenvectors.
2025-05-27 18:38:22,673 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.001), run number 0 with 8 eigenvectors.
2025-05-27 18:38:22,683 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.003), run number 0 with 8 eigenvectors.
2025-05-27 18:38:22,691 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.002), run number 0 with 8 eigenvectors.
2025-05-27 18:38:22,762 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.005), run number 0 with 8 eigenvectors.
2025-05-27 18:38:22,764 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.004), run number 0 with 8 eigenvectors.
2025-05-27 18:38:22,804 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.006), run number 0 with 8 eigenvectors.
2025-05-27 18:38:22,891 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.009000000000000001), run number 0 with 7 eigenvectors.
2025-05-27 18:38:22,939 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.007), run number 0 with 7 eigenvectors.
2025-05-27 18:38:22,970 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.008), run number 0 with 7 eigenvectors.
2025-05-27 18:38:22,992 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.01), run number 0 with 7 eigenvectors.
2025-05-27 18:38:23,153 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.003), run number 0 with 9 eigenvectors.
2025-05-27 18:38:23,162 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.001), run number 0 with 9 eigenvectors.
2025-05-27 18:38:23,194 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.002), run number 0 with 9 eigenvectors.
2025-05-27 18:38:23,423 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.009000000000000001), run number 0 with 8 eigenvectors.
2025-05-27 18:38:23,433 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.006), run number 0 with 9 eigenvectors.
2025-05-27 18:38:23,477 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.004), run number 0 with 9 eigenvectors.
2025-05-27 18:38:23,545 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.001), run number 0 with 10 eigenvectors.
2025-05-27 18:38:23,553 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.003), run number 0 with 10 eigenvectors.
2025-05-27 18:38:23,553 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.002), run number 0 with 10 eigenvectors.
2025-05-27 18:38:23,651 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.007), run number 0 with 8 eigenvectors.
2025-05-27 18:38:23,652 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.008), run number 0 with 8 eigenvectors.
2025-05-27 18:38:23,672 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.005), run number 0 with 9 eigenvectors.
2025-05-27 18:38:23,752 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.01), run number 0 with 8 eigenvectors.
2025-05-27 18:38:23,849 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.004), run number 0 with 10 eigenvectors.
2025-05-27 18:38:23,987 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.006), run number 0 with 10 eigenvectors.
2025-05-27 18:38:24,000 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.009000000000000001), run number 0 with 9 eigenvectors.
2025-05-27 18:38:24,017 - INFO - experiments.py:177 - run() - Finished experiment: sbmCycle(10, 1000, 0.01, 0.002), run number 0
2025-05-27 18:38:24,017 - INFO - datasets.py:315 - load_gt_clusters() - Loading GT clusters for sbmCycle(10, 1000, 0.01, 0.002)...
2025-05-27 18:38:24,018 - INFO - datasets.py:310 - load_graph() - Generating sbmCycle(10, 1000, 0.01, 0.002) graph from sbm...
2025-05-27 18:38:24,026 - INFO - experiments.py:177 - run() - Finished experiment: sbmCycle(10, 1000, 0.01, 0.003), run number 0
2025-05-27 18:38:24,026 - INFO - datasets.py:315 - load_gt_clusters() - Loading GT clusters for sbmCycle(10, 1000, 0.01, 0.003)...
2025-05-27 18:38:24,027 - INFO - datasets.py:310 - load_graph() - Generating sbmCycle(10, 1000, 0.01, 0.003) graph from sbm...
2025-05-27 18:38:24,037 - INFO - experiments.py:177 - run() - Finished experiment: sbmCycle(10, 1000, 0.01, 0.001), run number 0
2025-05-27 18:38:24,037 - INFO - datasets.py:315 - load_gt_clusters() - Loading GT clusters for sbmCycle(10, 1000, 0.01, 0.001)...
2025-05-27 18:38:24,037 - INFO - datasets.py:310 - load_graph() - Generating sbmCycle(10, 1000, 0.01, 0.001) graph from sbm...
2025-05-27 18:38:24,169 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.008), run number 0 with 9 eigenvectors.
2025-05-27 18:38:24,215 - INFO - experiments.py:165 - run() - Starting experiment: sbmCycle(10, 1000, 0.01, 0.001), run number 1
2025-05-27 18:38:24,217 - INFO - experiments.py:165 - run() - Starting experiment: sbmCycle(10, 1000, 0.01, 0.002), run number 1
2025-05-27 18:38:24,219 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.005), run number 0 with 10 eigenvectors.
2025-05-27 18:38:24,272 - INFO - experiments.py:165 - run() - Starting experiment: sbmCycle(10, 1000, 0.01, 0.003), run number 1
2025-05-27 18:38:24,287 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.007), run number 0 with 9 eigenvectors.
2025-05-27 18:38:24,387 - INFO - experiments.py:177 - run() - Finished experiment: sbmCycle(10, 1000, 0.01, 0.004), run number 0
2025-05-27 18:38:24,390 - INFO - datasets.py:315 - load_gt_clusters() - Loading GT clusters for sbmCycle(10, 1000, 0.01, 0.004)...
2025-05-27 18:38:24,390 - INFO - datasets.py:310 - load_graph() - Generating sbmCycle(10, 1000, 0.01, 0.004) graph from sbm...
2025-05-27 18:38:24,399 - INFO - experiments.py:177 - run() - Finished experiment: sbmCycle(10, 1000, 0.01, 0.006), run number 0
2025-05-27 18:38:24,399 - INFO - datasets.py:315 - load_gt_clusters() - Loading GT clusters for sbmCycle(10, 1000, 0.01, 0.006)...
2025-05-27 18:38:24,399 - INFO - datasets.py:310 - load_graph() - Generating sbmCycle(10, 1000, 0.01, 0.006) graph from sbm...
2025-05-27 18:38:24,700 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.001), run number 1 with 1 eigenvectors.
2025-05-27 18:38:24,747 - INFO - experiments.py:165 - run() - Starting experiment: sbmCycle(10, 1000, 0.01, 0.004), run number 1
2025-05-27 18:38:24,825 - INFO - experiments.py:177 - run() - Finished experiment: sbmCycle(10, 1000, 0.01, 0.005), run number 0
2025-05-27 18:38:24,825 - INFO - datasets.py:315 - load_gt_clusters() - Loading GT clusters for sbmCycle(10, 1000, 0.01, 0.005)...
2025-05-27 18:38:24,826 - INFO - datasets.py:310 - load_graph() - Generating sbmCycle(10, 1000, 0.01, 0.005) graph from sbm...
2025-05-27 18:38:24,905 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.002), run number 1 with 1 eigenvectors.
2025-05-27 18:38:24,910 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.003), run number 1 with 1 eigenvectors.
2025-05-27 18:38:24,942 - INFO - experiments.py:165 - run() - Starting experiment: sbmCycle(10, 1000, 0.01, 0.006), run number 1
2025-05-27 18:38:25,074 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.01), run number 0 with 9 eigenvectors.
2025-05-27 18:38:25,088 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.007), run number 0 with 10 eigenvectors.
2025-05-27 18:38:25,097 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.008), run number 0 with 10 eigenvectors.
2025-05-27 18:38:25,208 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.001), run number 1 with 2 eigenvectors.
2025-05-27 18:38:25,201 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.009000000000000001), run number 0 with 10 eigenvectors.
2025-05-27 18:38:25,310 - INFO - experiments.py:165 - run() - Starting experiment: sbmCycle(10, 1000, 0.01, 0.005), run number 1
2025-05-27 18:38:25,460 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.002), run number 1 with 2 eigenvectors.
2025-05-27 18:38:25,517 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.003), run number 1 with 2 eigenvectors.
2025-05-27 18:38:25,613 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.006), run number 1 with 1 eigenvectors.
2025-05-27 18:38:25,673 - INFO - experiments.py:177 - run() - Finished experiment: sbmCycle(10, 1000, 0.01, 0.007), run number 0
2025-05-27 18:38:25,676 - INFO - datasets.py:315 - load_gt_clusters() - Loading GT clusters for sbmCycle(10, 1000, 0.01, 0.007)...
